map_id,map_name,handle,name,display_url,level,vocation,max_hp,max_mp,speed,attack,defense,command_label,queue_index_team,queue_index_enemy,source
36,平原_5,6483598180513553,爆骨猪,monstermap/bomepig.swf,13,战士,280,145,0,139,0,普通攻击,1,4,"local half-defense full rerun: cross-target half-defense calibration n=49, resolved p50=143.75; baseline attack=164; local policy, not an original-server Attack claim"
36,平原_5,6093598288385864,爆骨猪,monstermap/bomepig.swf,13,战士,265,162,0,133,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=36, resolved p50=137.500; baseline attack=210; local policy, not an original-server Attack claim"
37,平原_6,4531543951685973,花妖,monstermap/huayao.swf,10,战士,230,150,0,95,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=98.500; baseline attack=162; local policy, not an original-server Attack claim"
39,平原_8,3309595043810827,尖刀暴牙,monstermap/jdby.swf,12,战士,280,130,0,129,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=133.500; baseline attack=200; local policy, not an original-server Attack claim"
39,平原_8,7153595193374620,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,126,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=130.500; baseline attack=175; local policy, not an original-server Attack claim"
40,平原_9,1068595020770482,尖刀暴牙,monstermap/jdby.swf,12,战士,280,130,0,131,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=120, resolved p50=135.500; baseline attack=200; local policy, not an original-server Attack claim"
40,平原_9,6132760366794317,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,128,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=164, resolved p50=132.500; baseline attack=175; local policy, not an original-server Attack claim"
41,平原_10,4022545119904439,牙菇,monstermap/yagu.swf,10,术士,250,190,0,183,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=189.000; baseline attack=229; local policy, not an original-server Attack claim"
43,平原_12,3795545244778453,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,127,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-39-7153595193374620;wild-40-6132760366794317; baseline attack=175; local policy, not an original-server Attack claim"
44,平原_13,8028545299002561,尖刀暴牙,monstermap/jdby.swf,12,战士,250,130,0,122,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-39-3309595043810827;wild-40-1068595020770482; baseline attack=187; local policy, not an original-server Attack claim"
48,平原_14,3450545326166866,盗贼,monstermap/robber.swf,14,游侠,330,210,0,137,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=8, resolved p50=142.250; baseline attack=171; local policy, not an original-server Attack claim"
49,平原_15,1914555684754474,盗贼,monstermap/robber.swf,15,游侠,445,194,0,107,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=25, resolved p50=111.000; baseline attack=164; local policy, not an original-server Attack claim"
49,平原_15,3784555592010429,盗贼,monstermap/robber.swf,16,游侠,452,210,0,114,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=24, resolved p50=118.500; baseline attack=169; local policy, not an original-server Attack claim"
50,平原_16,3720596218402838,巡路小鬼,monstermap/lilghost.swf,16,战士,520,160,0,117,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=121.000; baseline attack=203; local policy, not an original-server Attack claim"
50,平原_16,1946596194721884,巡路小鬼,monstermap/lilghost.swf,17,战士,545,184,0,120,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=16, resolved p50=124.000; baseline attack=216; local policy, not an original-server Attack claim"
51,平原_17,4241545370938745,盗贼,monstermap/robber.swf,18,游侠,470,220,0,141,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=74, resolved p50=145.500; baseline attack=202; local policy, not an original-server Attack claim"
52,平原_18,4241545370938745,盗贼,monstermap/robber.swf,18,游侠,470,220,0,157,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=224, resolved p50=163.000; baseline attack=202; local policy, not an original-server Attack claim"
52,平原_18,7014979944725157,巡路小鬼,monstermap/lilghost.swf,18,战士,545,184,0,144,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=38, resolved p50=149.500; baseline attack=216; local policy, not an original-server Attack claim"
52,平原_18,1478600550966619,单刀狼人,monstermap/bigswordwolf.swf,21,战士+,2500,334,0,213,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=70, resolved p50=220.000; baseline attack=260; local policy, not an original-server Attack claim"
84,竹林_1,6807541628986490,绿甲螳螂,monstermap/greenmantis.swf,3,战士,40,40,110,43,8,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=4, resolved p50=44.250; baseline attack=8; local policy, not an original-server Attack claim"
85,竹林_2,8881541656023182,绿甲螳螂,monstermap/greenmantis.swf,4,战士,45,45,140,48,9,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-84-6807541628986490; baseline attack=9; local policy, not an original-server Attack claim"
86,竹林_3,1200541669444892,小竹妖,monstermap/bambooboy.swf,6,游侠,90,90,180,75,14,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=77.500; baseline attack=14; local policy, not an original-server Attack claim"
87,竹林_4,4857541734860164,跳跳竹,monstermap/jumpboo.swf,6,战士,94,94,180,75,14,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=77.500; baseline attack=14; local policy, not an original-server Attack claim"
88,竹林_5,6668541757519206,刀手螳螂,monstermap/kinfemantis.swf,6,游侠,90,90,180,116,14,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=3, resolved p50=120.500; baseline attack=14; local policy, not an original-server Attack claim"
90,竹林_7,8848541914382828,竹炮,monstermap/boobomb.swf,7,战士,100,100,190,71,7,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=73.500; baseline attack=7; local policy, not an original-server Attack claim"
97,竹林_10,8100462475820589,小竹妖,monstermap/bambooboy.swf,5,游侠,80,80,150,70,11,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=72.000; baseline attack=11; local policy, not an original-server Attack claim"
56,沼泽_1,1879687900196574,小恶鬼,monstermap/lilghost.swf,20,战士,600,180,0,158,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=15, resolved p50=163.500; baseline attack=228; local policy, not an original-server Attack claim"
56,沼泽_1,2510687873023475,瘴气泥巴,monstermap/mudmonster.swf,21,术士,510,225,0,206,0,法术普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=10, resolved p50=213.000; baseline attack=154; local policy, not an original-server Attack claim"
57,沼泽_2,3495688635515392,瘴气泥巴,monstermap/mudmonster.swf,22,术士,520,230,0,206,0,法术普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=154; local policy, not an original-server Attack claim"
57,沼泽_2,4807748897740720,瘴气泥巴,monstermap/mudmonster.swf,23,术士,525,250,0,218,0,法术普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=163; local policy, not an original-server Attack claim"
58,沼泽_3,2466748997740364,瘴气泥巴,monstermap/mudmonster.swf,22,术士,520,230,0,206,0,法术普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=154; local policy, not an original-server Attack claim"
58,沼泽_3,6050764649850402,瘴气泥巴,monstermap/mudmonster.swf,23,术士,525,250,0,218,0,法术普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-56-2510687873023475; baseline attack=163; local policy, not an original-server Attack claim"
59,沼泽_4,6910749059116478,王花,monstermap/flowerking.swf,25,战士,750,210,0,190,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-61-8794277136639545;wild-61-4255855522129221; baseline attack=246; local policy, not an original-server Attack claim"
59,沼泽_4,3372749147172679,王花,monstermap/flowerking.swf,24,战士,760,160,0,195,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-61-4255855522129221;wild-61-8794277136639545; baseline attack=252; local policy, not an original-server Attack claim"
60,沼泽_5,4388749304285760,毒蜂,monstermap/drughornets.swf,24,游侠,680,220,0,162,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-62-6230749623881500;wild-175-1292876508688954;wild-177-1356924340603876; baseline attack=246; local policy, not an original-server Attack claim"
60,沼泽_5,1019749509430681,王花,monstermap/flowerking.swf,25,战士,750,210,0,190,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-61-8794277136639545;wild-61-4255855522129221; baseline attack=246; local policy, not an original-server Attack claim"
61,沼泽_7,8794277136639545,王花,monstermap/flowerking.swf,25,战士,750,210,0,216,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=6, resolved p50=224.000; baseline attack=246; local policy, not an original-server Attack claim"
61,沼泽_7,4255855522129221,王花,monstermap/flowerking.swf,24,战士,760,160,0,168,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=174.000; baseline attack=252; local policy, not an original-server Attack claim"
62,沼泽_6,6230749623881500,毒蜂,monstermap/drughornets.swf,25,游侠,680,220,0,171,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=11, resolved p50=176.500; baseline attack=246; local policy, not an original-server Attack claim"
63,沼泽_8,8413750350934133,金斑鳄,monstermap/goldcayman.swf,26,战士,980,160,0,179,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=185.000; baseline attack=270; local policy, not an original-server Attack claim"
63,沼泽_8,3620750641104472,金斑鳄,monstermap/goldcayman.swf,26,战士,1020,140,0,191,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=5, resolved p50=198.000; baseline attack=278; local policy, not an original-server Attack claim"
172,沼泽_10,1040767153512470,玄龟兽,monstermap/occulttortoise.swf,28,战士,1221,200,0,175,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-173-2500770180184588;wild-175-9520876486737550; baseline attack=273; local policy, not an original-server Attack claim"
172,沼泽_10,4253767046366640,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,175,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-175-9520876486737550;wild-173-2500770180184588; baseline attack=273; local policy, not an original-server Attack claim"
173,沼泽_11,2500770180184588,玄龟兽,monstermap/occulttortoise.swf,28,战士,1221,200,0,185,0,普通攻击,1,4,"local half-defense full rerun: cross-target half-defense calibration n=255, resolved p50=191.5; baseline attack=309; local policy, not an original-server Attack claim"
174,沼泽_12,3741766722935500,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,175,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-175-9520876486737550;wild-173-2500770180184588; baseline attack=273; local policy, not an original-server Attack claim"
175,沼泽_13,3729876678791209,赤蛰子,monstermap/beequeen.swf,32,游侠+,3100,510,0,242,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=10, resolved p50=250.000; baseline attack=330; local policy, not an original-server Attack claim"
175,沼泽_13,1292876508688954,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,183,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=48, resolved p50=189.000; baseline attack=278; local policy, not an original-server Attack claim"
175,沼泽_13,9520876486737550,玄龟兽,monstermap/occulttortoise.swf,29,战士,1260,200,0,214,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=43, resolved p50=221.000; baseline attack=313; local policy, not an original-server Attack claim"
177,沼泽_15,2843924512567764,赤蛰子,monstermap/beequeen.swf,32,游侠+,3100,510,0,224,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=3, resolved p50=232.000; baseline attack=304; local policy, not an original-server Attack claim"
177,沼泽_15,1356924340603876,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,178,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=184.000; baseline attack=281; local policy, not an original-server Attack claim"
178,沼泽_16,4062924384803641,毒蜂,monstermap/drughornets.swf,28,游侠,850,320,0,186,0,普通攻击,1,4,"local half-defense full rerun: same monster family inherited ratio from wild-175-1292876508688954;wild-177-1356924340603876;wild-62-6230749623881500; baseline attack=282; local policy, not an original-server Attack claim"
